Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Log Work,Log Work,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Documents),Inward issue link (Documents),Inward issue link (Documents),Inward issue link (Documents),Inward issue link (Documents),Inward issue link (Documents),Inward issue link (Documents),Inward issue link (Documents),Inward issue link (Documents),Inward issue link (Documents),Inward issue link (Documents),Inward issue link (Documents),Inward issue link (Documents),Outward issue link (Documents),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Gantt End to Start),Inward issue link (Implements),Outward issue link (Implements),Outward issue link (Implements),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Tests),Inward issue link (Tests),Outward issue link (Tests),Outward issue link (Tests),Outward issue link (Tests),Outward issue link (Tests),Outward issue link (Tests),Outward issue link (Tests),Outward issue link (Tests),Outward issue link (Tests),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Actual end),Custom field (Actual start),Custom field (Additional Environment Details),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Backout plan),Custom field (Baseline start date),Custom field (Business Value),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Contact Person),Custom field (Cost Estimation),Custom field (Cost over 2 years),Custom field (Customer Due Date),Custom field (Customer Release Notes),Custom field (Definition Level),Custom field (Development),Custom field (Dynamics Weblink),Custom field (End date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (ErgebnisdesZyklus),Custom field (Estimate(Size)),Custom field (Expected Loss),Custom field (Expected Turnover 2 years),Custom field (Expected Turnover Project),Custom field (First Reported),Custom field (Focus Areas),Custom field (Goals),Custom field (Hardware),Custom field (Hardware Details),Custom field (ICG Details),Custom field (IGEL OS Details),Custom field (IGEL OS Version),Custom field (ISUS-DB-ID),Custom field (ISUS-ID),Custom field (Impact),Custom field (Implementation plan),Custom field (Issue Template),Custom field (Issue color),Custom field (Lauf Status),Custom field (Locked forms),Custom field (Log Details),Custom field (Major incident),Custom field (Open forms),Custom field (PM Initiator),Custom field (PMM Info),Custom field (PO Review),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Preconditions),Custom field (Product (LX)),Custom field (Product (LX)),Custom field (Product (LX)),Custom field (Product (LX)),Custom field (Product (LX)),Custom field (Product (LX)),Custom field (Product (LX)),Custom field (Product (LX)),Custom field (Project Workflow ID),Custom field (Project overview key),Custom field (Project overview status),Custom field (QA Prio),Custom field (QA Test Advise),Custom field (Rank),Custom field (Related Cases),Custom field (Release Notes Checked),Custom field (Request Type),Custom field (Request Type),Custom field (Request participants),Custom field (Responders),Custom field (Reviewer),Custom field (Run Attributes),Custom field (Run Status),Satisfaction rating,Custom field (Security Requirements),Custom field (Sentiment),Custom field (ServiceNow Assignee),Custom field (ServiceNow ID),Custom field (ServiceNow Link),Custom field (ServiceNow Priority),Custom field (ServiceNow State),Custom field (Session Details),Custom field (Severity),Custom field (Specification),Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Start date),Custom field (Steps to reproduce),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Symptom),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Techdoc Info),Custom field (Test plan),Custom field (TestLink Path),Custom field (Tester),Custom field (TesterdesZyklus),Custom field (TestlinkID),Custom field (Total forms),Custom field (Troubleshooting Details),Custom field (UMS Details),Custom field (UMS Version),Custom field (Urgency),Custom field (VDI OS),Custom field (Vulnerability),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (isus_queue),Custom field (resultsOfCycle),Custom field (testersOfCycle),Custom field (urgencyOfRun),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Status Category,Status Category Changed
Base | Screenlock / Screensaver,QCL-5946,201927,Test Case,Open,QCL,Linux Testing,software,Volker Finger,712020:391f9e97-2260-49b8-8337-8824d0196357,,,Minor,,,,Evelyn Messner,712020:b2c96422-cb90-4ef4-99c3-93360aed659b,Evelyn Messner,712020:b2c96422-cb90-4ef4-99c3-93360aed659b,07/Apr/26 1:03 PM,07/Apr/26 2:05 PM,08/Apr/26 8:59 AM,,,0,,,,,"*Summary*

This test case ensures the capabilities of the IGEL OS Screenlock / Screensaver are functional and information that is to be locked behind the screen remains that way. 

no visible windows

*Environment*

Hardware and software requirements for executing the test case.

Possibly refer to Confluence for information about the test station to be used.

Base system or required VDI for the test case.

*Helpful Terminal Commands*

Terminal commands that are helpful for the test case. Do not only list them, but explain what exactly they do.

*Additional Information*

* create password
* test login/logoff/shutdown/reboot/suspend behavior
* test lockscreen with key combination
* test admin and normal password
* configure screensaver
* try out options of what connection details are displayed etc (tc setup) 
* Monitor resizing, hotplug
* lid close suspend etc
* shutdown time with a lot of apps open
* “faulty” interaction with the ui (icons, buttons, login, …)
* leaking of Data (Windows, icons, and window-panels)

* For each login method (SSO, Local, Kerberos) TC > security > logon, AD/Kerberos
    For each system behaviour (Log-off, Restart, Shutdown, Suspend)
        Many opend Apps (Edge,Firefox,Chrome,RDP,Citrix,Terminal) without screenlock
        No opend Apps without screenlock
        Many opend Apps (Edge,Firefox,Chrome,RDP,Citrix,Terminal) with screenlock
        No opend Apps with screenlock

----

Additionally each Test Case should include the following items if applicable

*Linked Work Items*

Connections to other test cases or Apps.

*Attachments*

Screenshots or files necessary for conducting the Test or understanding the Task.",,User known,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@65f0cc04,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,,,,,,,,,,,,,,,1|i05ifv:,,Unchecked,,,,,,,Not Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,,,,,,To Do,07/Apr/26 1:03 PM
Igel Managed Hypervisor | UMS,QCAPPS-1244,200136,Test Case,Open,QCAPPS,Apps Testing,software,Volker Finger,712020:391f9e97-2260-49b8-8337-8824d0196357,,,Minor,,,,Ken Bunge,712020:cf1b4d06-95e7-4796-aaba-7b4643d817a2,Ken Bunge,712020:cf1b4d06-95e7-4796-aaba-7b4643d817a2,24/Mar/26 11:00 AM,25/Mar/26 4:14 PM,,,,0,,,,,Remote management via UMS.,Need UMS 12.11 or higher and Client 12.8 or higher,Ken Bunge,,,,712020:cf1b4d06-95e7-4796-aaba-7b4643d817a2,,,,,,,,,,,,,,,,,,,,,,QCAPPS-1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1876207,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,The Task Managed Hypervisor will be shown when you deploy a VM on the Client. ,,,,,,,,,,,,,,1|i05eo3:,,,,,,,,,Not Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,,,,,,To Do,24/Mar/26 11:00 AM
Igel Managed Hypervisor | Convert images,QCAPPS-1242,199927,Test Case,Open,QCAPPS,Apps Testing,software,Volker Finger,712020:391f9e97-2260-49b8-8337-8824d0196357,,,Minor,,,,Ken Bunge,712020:cf1b4d06-95e7-4796-aaba-7b4643d817a2,Ken Bunge,712020:cf1b4d06-95e7-4796-aaba-7b4643d817a2,23/Mar/26 2:51 PM,24/Mar/26 11:00 AM,,,,0,,,,,How to convert images.,,Ken Bunge,,,,712020:cf1b4d06-95e7-4796-aaba-7b4643d817a2,,,,,,,,,,,,,,,,QCAPPS-1244,,,,,,QCAPPS-659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@40da08e4,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,,,,,,,,,,,,,,,1|i05edn:,,,,,,,,,Not Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,,,,,,To Do,23/Mar/26 2:51 PM
Base | Storage Device & USB Test,QCL-5860,199328,Test Case,Open,QCL,Linux Testing,software,Volker Finger,712020:391f9e97-2260-49b8-8337-8824d0196357,,,Minor,,,,Evelyn Messner,712020:b2c96422-cb90-4ef4-99c3-93360aed659b,Evelyn Messner,712020:b2c96422-cb90-4ef4-99c3-93360aed659b,19/Mar/26 8:26 AM,24/Mar/26 10:24 AM,,,,0,,,,,"*Summary*

This test case assesses the USB and storage configurations of IGEL OS.

Especially, it focuses on dynamic client drive mapping and USB access control.



*Environment*

* Test device that has USB sockets (USB 2.0 , USB 3.0, USB c )
* Formatted USB device
* Test with  *FAT-32 / EXT-4 / NTFS*  File systems (if available)
* Another USB device that is from a different category, for instance headphones and a keyboard



*Helpful Terminal Commands*

USB devices are shown in */media* by default. This path can be used to find the name of the mount point.

If standardized Custom Partition */multimedia* is used, the following sequence can be used to test functionality:

+Copy files to mount point and confirm:+

{noformat}cp /multimedia/*.* /media/[mount point]
ls -la /media/[mount point]{noformat}

+Remove files from mount point and confirm:+

{noformat}rm -r /media/[mount point]/*.*
ls -la /media/[mount point]{noformat}



{panel:bgColor=#deebff}
The following command displays vendor and product id of a USB device: 

{{lsblk}}

+Interpretation:+

{noformat}Bus 002 Device 003: ID 1234:5678 Manufacturer_Name Product_Name{noformat}

The *ID 1234:5678* contains the *Vendor ID (1234)* and *Product ID (5678)*.
{panel}

----

*Additional Information*

The option *TC setup → Devices → Storage Devices → Options → Support for built-in floppy drives* is currently out of scope, as well as are other Storage Device types such as CD/ROM, DVD, or the like.

It is possible to fine-tune access via USB to a granular level using Device rules, for instance specific product IDs or Vendor IDs can be blocked or allowed, only specific device classes such as Audio devices can be treated individually, etc. 
Refer to [https://kb.igel.com/en/igel-os-base-system/12.4/usb-access-control-in-igel-os-12|https://kb.igel.com/en/igel-os-base-system/12.4/usb-access-control-in-igel-os-12|smart-link]  for details.",,User known,,,,unknown,,,,,,,,,,,,,,,,,,,,,,QCL-3147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b9af47a,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,,,,,,,,,,,,,,,1|i05cgb:,,Unchecked,,,,,,,Not Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,,,,,,To Do,19/Mar/26 8:26 AM
Base | Language Support,QCL-5859,199272,Test Case,Open,QCL,Linux Testing,software,Volker Finger,712020:391f9e97-2260-49b8-8337-8824d0196357,,,Minor,,,,Lisa Hart,712020:6da17bf7-0c9c-49e0-a469-3113ae2af5aa,Lisa Hart,712020:6da17bf7-0c9c-49e0-a469-3113ae2af5aa,18/Mar/26 3:18 PM,19/Mar/26 11:45 AM,,,,0,,,,,"Testing of basic language-related functionality in IGEL OS, including *language switching, keyboard layout, input language, and regional standards/formats*.

h2. *Environment*

* IGEL OS (version to be specified)
* Standard test device (e.g., IGEL hardware or x86 device)
* Default system configuration

h2. *Additional Information*

Full validation of language correctness (e.g., translations, grammar, or completeness) is *out of scope* due to limited testing capabilities.

The focus of this test case is on:

* *Language switching functionality*
* Basic *UI rendering and font display*
* *Keyboard layout behavior*
* *Input language handling*
* *Regional settings (date, time, number formats)*

The goal is to verify that language-related configurations are *applied correctly and consistently*, and that the system remains *functional and usable across different language settings*, without validating the linguistic accuracy of the translations themselves.",,Lisa Hart,,,,712020:6da17bf7-0c9c-49e0-a469-3113ae2af5aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2261076,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,,,,,,,,,,,,,,,1|i05cbv:,,Unchecked,,,,,,,Not Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,,,,,,To Do,18/Mar/26 3:18 PM
QA | IGEL Agent for Imprivata | Walk-Away Security (Follow policies mode),QCAPPS-1234,199248,Test Case,Open,QCAPPS,Apps Testing,software,Volker Finger,712020:391f9e97-2260-49b8-8337-8824d0196357,,,Minor,,,,Marco Köhler,712020:8abf46bb-3878-476a-82d3-2c082f687e59,Marco Köhler,712020:8abf46bb-3878-476a-82d3-2c082f687e59,18/Mar/26 2:05 PM,18/Mar/26 2:05 PM,,,,0,,,,,"Basic tests for IGEL endpoint WalkAway Security in Fast user switching configuration option.

h2. IAFI Configuration

Basic information on how to setup IAFI via *Imprivata Admin Console* and *Imprivata Appliance Console* using *Computer policies* and *User policies.*

[https://igel-jira.atlassian.net/wiki/spaces/QA/pages/332627969/Imprivata+testing+Environment|https://igel-jira.atlassian.net/wiki/spaces/QA/pages/332627969/Imprivata+testing+Environment|smart-link] 

h2. QA resources

Basic information especially for this specific test topic from *QA perspective.*

 [https://igel-jira.atlassian.net/wiki/spaces/QA/pages/467338155/WalkAway+Security|https://igel-jira.atlassian.net/wiki/spaces/QA/pages/467338155/WalkAway+Security|smart-link] [https://igel-jira.atlassian.net/wiki/spaces/QA/pages/408780803/Configuration+option+Fast+user+switching+FUS|https://igel-jira.atlassian.net/wiki/spaces/QA/pages/408780803/Configuration+option+Fast+user+switching+FUS|smart-link] 

h2. Documentation

Official documentation by IGEL *Knowledge Base & Technical Publications* department.

[https://igel-jira.atlassian.net/wiki/spaces/IGELAPPSE/pages/317652993/IAFI+Workflow+Configuration+Options|https://igel-jira.atlassian.net/wiki/spaces/IGELAPPSE/pages/317652993/IAFI+Workflow+Configuration+Options|smart-link] ",,User known,,,,unknown,,,,,,,,,,,,,,,,,,,,,,QCAPPS-1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@c9a6a85,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,,,,,,,,,,,,,,,1|i05c7f:,,,,,,,,,Not Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,,,,,,To Do,18/Mar/26 2:05 PM
Hardware | Bluetooth,QCL-5857,199226,Test Case,Open,QCL,Linux Testing,software,Volker Finger,712020:391f9e97-2260-49b8-8337-8824d0196357,,,Minor,,,,Oliver Wybranski,712020:17f0fddd-6d7b-4138-8b62-160988406218,Oliver Wybranski,712020:17f0fddd-6d7b-4138-8b62-160988406218,18/Mar/26 11:06 AM,18/Mar/26 11:12 AM,,,,0,,,,,"*Summary*

*Environment*

*Additional Information* 

*Helpful Terminal Commands*",,User known,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4477192e,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,Bestanden,,,,,,,,,,,,,,,,,,,,,,,,,1|i05c2z:,,,,,,,,,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,,,,,,To Do,18/Mar/26 11:06 AM
[Quick] | Connection | VDI ,QCL-5853,199207,Test Case,Open,QCL,Linux Testing,software,Volker Finger,712020:391f9e97-2260-49b8-8337-8824d0196357,,,Minor,,,,Lisa Hart,712020:6da17bf7-0c9c-49e0-a469-3113ae2af5aa,Lisa Hart,712020:6da17bf7-0c9c-49e0-a469-3113ae2af5aa,18/Mar/26 9:55 AM,18/Mar/26 2:49 PM,,,,0,,,,,"Quick VDI general connection test, to prevent that in a new base_system release the connection to each provider no longer works.

Test with the latest available released VDI Applications.

h3. *Additional Information*

h4. How to set up SSL Certificate for VDI Apps

# Download the certificate from *Password vault*
# Upload the certificate to *UMS*
# Set the classification as *SSL certificate*
# Set *Device file location*: _/wfs/ca-certs/_
# Assign the certificate to the target machine
# Reboot device when finished

h4. Credentials for configuring session connection (refer to password vault): 

_IGEL App for Windows (AVD + CPC):_

* AVD: Azure | xxx, Tag: AVD
* CPC: Windows Cloud PC | (QA) Login

_Citrix Storefront/Selfservice:_ 

* *Citrix | 2203 on-premise credentials*
* *QA.test CA certificate*
* In the *Server* tab, configure the following:
** *Type of Session*: Select *StoreFront* or *SelfService*
** *Store URL*

_RDP:_ 

* *Server Name*: Use a *Windows server you own (*form  [https://itga-vcs-test.igel.local/|https://itga-vcs-test.igel.local/] *) with RDP enabled* _(ensure Remote Desktop is enabled and accessible)_

_RDP WebAccess:_ 

* RDP Web Access | Server credentials

_Thinlinc:_

* Ensure access to a *Linux server with ThinLinc installed* (ThinLinc only works with Linux-based servers).
* *Server Name*: Use a Linux server you own (form  [+https://itga-vcs-test.igel.local/+|https://itga-vcs-test.igel.local/]) with *ThinLinc installed*
** If you do not have any personal Linux VMs available. Check *Thinlinc client | elch*

_Omnissa Horizon:_

* *Omnissa Horizon Connection Server*
* *QA.test CA certificate*
* *Troubleshooting (Sign-in Issue):*
** If sign-in issues occur, go to *Horizon Client → Global Server Options*
** Under *Server Certificate Verification Mode*, select *Allow unverifiable connections*",,Lisa Hart,,,,712020:6da17bf7-0c9c-49e0-a469-3113ae2af5aa,,,,,,,,,,,,,,,,,,,,,,QCL-3126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6b0e25aa,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,Bestanden,,,,,,,,,,,,LXOS 8.x,OSC 2,,,,,,,,,,,,1|i05bz7:,,,,,,,,,Not Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,,,,,,To Do,18/Mar/26 9:55 AM
Igel Managed Hypervisor | Deploy Imges from nginx webdav,QCAPPS-1227,198992,Test Case,Open,QCAPPS,Apps Testing,software,Volker Finger,712020:391f9e97-2260-49b8-8337-8824d0196357,,,Minor,,,,Ken Bunge,712020:cf1b4d06-95e7-4796-aaba-7b4643d817a2,Ken Bunge,712020:cf1b4d06-95e7-4796-aaba-7b4643d817a2,17/Mar/26 9:11 AM,17/Mar/26 10:00 AM,,,,0,,,,,For export the domains in IMH. When you already created images in the local IMH it is necessary to export the images for UMS deployment.,"Hardware with youre created images in IMH

UMS with enough HDD space",Ken Bunge,,,,712020:cf1b4d06-95e7-4796-aaba-7b4643d817a2,,,,,,,,,,,,,,,,,,,,,,QCAPPS-1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@28877bda,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,existing images,,,,,,,,,,,,,,1|i05bb7:,,,,,,,,,Not Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,,,,,,To Do,17/Mar/26 9:11 AM
Igel Managed Hypervisor | Deploy Imges from UMS webdav,QCAPPS-1225,198929,Test Case,Open,QCAPPS,Apps Testing,software,Volker Finger,712020:391f9e97-2260-49b8-8337-8824d0196357,,,Minor,,,,Ken Bunge,712020:cf1b4d06-95e7-4796-aaba-7b4643d817a2,Ken Bunge,712020:cf1b4d06-95e7-4796-aaba-7b4643d817a2,16/Mar/26 4:17 PM,17/Mar/26 9:36 AM,,,,0,,,,,For export the domains in IMH. When you already created images in the local IMH it is necessary to export the images for UMS deployment.,"Hardware with youre created images in IMH

UMS with enough HDD space",Ken Bunge,,,,712020:cf1b4d06-95e7-4796-aaba-7b4643d817a2,,,,,,,,,,,,,,,,QCAPPS-1227,,,,,,QCAPPS-803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@656ac160,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,existing images,,,,,,,,,,,,,,1|i05b4z:,,,,,,,,,Not Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicht getestet,,,,,,,,,,,,,,,,To Do,16/Mar/26 4:17 PM
